caseid,age,sex,fulltime_emp,phys_challenge,sleep,homework,socializing
20160101160045,62,Female,No answer,No difficulty,690,0,465
20160101160066,69,Male,No answer,Has difficulty,600,0,560
20160101160069,24,Female,No answer,No difficulty,940,0,20
20160101160083,31,Female,Part time,No difficulty,635,0,120
20160101160084,59,Female,Part time,No difficulty,500,0,177
20160101160094,16,Female,No answer,No difficulty,565,0,355
20160101160116,43,Female,No answer,No difficulty,435,0,120
20160101160135,34,Female,No answer,No difficulty,645,0,220
20160101160139,63,Male,No answer,No difficulty,510,0,695
20160101160533,39,Female,Full time,No difficulty,670,0,240
20160101160546,35,Male,Full time,No difficulty,778,0,75
20160101160550,54,Female,Full time,No difficulty,480,0,65
20160101160560,40,Female,Full time,No difficulty,625,0,180
20160101160564,19,Female,No answer,No difficulty,530,655,60
20160101160569,76,Female,No answer,No difficulty,570,0,310
20160101160571,65,Female,No answer,No difficulty,540,0,545
20160101160573,16,Male,No answer,No difficulty,318,150,741
20160101160574,70,Male,No answer,No difficulty,360,0,1054
20160101160578,68,Male,No answer,Has difficulty,480,0,959
20160101160591,36,Female,Part time,No difficulty,470,0,30
20160101160602,45,Male,Full time,No difficulty,570,0,829
20160101160611,50,Female,Full time,No difficulty,688,0,480
20160101160613,52,Female,Full time,No difficulty,480,0,160
20160101160631,70,Female,No answer,Has difficulty,768,0,329
20160101160632,26,Male,Full time,No difficulty,535,0,425
20160101160648,63,Male,No answer,No difficulty,355,0,195
20160101160658,25,Female,Part time,No difficulty,540,0,120
20160101160660,74,Female,No answer,Has difficulty,480,0,565
20160101160663,32,Female,Full time,No difficulty,580,0,105
20160101160674,65,Male,No answer,No difficulty,510,0,850
20160101160680,76,Female,No answer,No difficulty,275,0,1036
20160101160694,22,Male,Full time,No difficulty,485,0,495
20160101160734,43,Male,Full time,No difficulty,573,0,120
20160101160758,52,Male,Full time,No difficulty,458,0,30
20160101160769,50,Female,Full time,No difficulty,645,0,385
20160101160813,46,Male,Full time,No difficulty,495,0,105
20160101160820,17,Female,Part time,No difficulty,345,0,510
20160101160828,44,Female,Part time,No difficulty,375,0,377
20160101160829,76,Female,No answer,Has difficulty,480,0,780
20160101160835,53,Female,Full time,No difficulty,480,0,117
20160101160837,46,Female,Part time,No difficulty,446,0,30
20160101160846,29,Female,No answer,No difficulty,580,0,180
20160101160856,69,Male,No answer,Has difficulty,967,0,50
20160101160862,35,Female,Part time,No difficulty,300,0,270
20160101160869,45,Male,Full time,No difficulty,522,0,120
20160101160884,68,Male,No answer,No difficulty,720,0,663
20160101160894,58,Female,No answer,No difficulty,525,0,265
20160101160914,27,Male,Full time,No difficulty,735,0,670
20160101160915,40,Male,Full time,No difficulty,865,0,280
20160101160916,22,Male,No answer,No difficulty,847,0,485
20160101160917,56,Female,Full time,No difficulty,460,0,290
20160101160942,85,Female,No answer,Has difficulty,555,0,810
20160101160969,75,Female,No answer,No difficulty,615,0,330
20160101160974,47,Male,Full time,No difficulty,525,0,480
20160101160982,59,Female,Full time,No difficulty,615,0,340
20160101160995,18,Male,No answer,No difficulty,634,0,661
20160101161013,30,Male,Full time,No difficulty,495,0,135
20160101161019,85,Male,Part time,No difficulty,545,0,330
20160101161031,76,Female,Part time,No difficulty,480,0,415
20160101161056,85,Male,No answer,Has difficulty,480,0,630
20160101161068,70,Female,No answer,No difficulty,420,0,805
20160101161070,20,Male,Part time,No difficulty,780,0,315
20160101161076,51,Female,No answer,No difficulty,660,0,125
20160101161080,49,Male,Full time,No difficulty,519,0,453
20160101161086,26,Female,No answer,No difficulty,525,0,225
20160101161107,33,Male,Full time,No difficulty,450,0,110
20160101161115,37,Male,Full time,No difficulty,240,0,410
20160101161136,40,Male,Full time,No difficulty,420,0,30
20160101161141,68,Male,No answer,Has difficulty,358,0,570
20160101161144,66,Female,No answer,Has difficulty,540,0,425
20160101161156,43,Female,Full time,No difficulty,570,0,305
20160101161157,61,Male,No answer,Has difficulty,720,0,691
20160101161158,80,Male,No answer,No difficulty,595,0,430
20160101161187,54,Male,Full time,No difficulty,500,0,150
20160101161189,46,Female,Full time,No difficulty,536,0,60
20160101161190,26,Male,Full time,No difficulty,508,0,150
20160101161200,70,Female,No answer,No difficulty,780,0,563
20160101161215,70,Female,No answer,No difficulty,630,0,210
20160101161237,22,Male,No answer,No difficulty,700,0,455
20160101161238,58,Male,Full time,No difficulty,435,0,180
20160101161245,73,Female,No answer,No difficulty,510,0,70
20160101161249,36,Male,Part time,No difficulty,425,0,555
20160101161256,58,Female,No answer,Has difficulty,540,0,800
20160101161276,67,Female,No answer,No difficulty,515,0,430
20160101161279,25,Male,Part time,No difficulty,1020,0,0
20160101161290,34,Male,Full time,No difficulty,540,0,160
20160101161311,48,Female,Full time,No difficulty,425,0,250
20160101161317,49,Male,Full time,No difficulty,612,0,300
20160101161324,48,Female,No answer,No difficulty,575,0,210
20160101161332,66,Female,No answer,No difficulty,495,0,350
20160101161367,73,Female,No answer,No difficulty,510,0,210
20160101161372,51,Female,No answer,No difficulty,600,0,240
20160101161373,35,Female,Full time,No difficulty,480,0,180
20160101161376,43,Female,Full time,No difficulty,510,0,510
20160101161397,53,Male,Part time,No difficulty,360,0,890
